elapsed_s,rss_mb,uss_mb,handles,threads,cpu_pct,delta_mb,note
0.0,55.1,21.9,300,7,0.0,0.0,
1.0,55.1,21.9,300,7,0.0,0.0,
2.0,55.1,21.9,300,7,0.0,0.0,
3.0,63.6,24.3,389,16,1.5,8.6,
4.0,63.2,23.9,387,16,0.0,-0.4,
5.0,111.2,55.6,395,17,20.1,48.0,
6.1,107.1,44.8,517,18,44.9,-4.1,
7.1,222.5,141.2,621,81,1044.7,115.3,▲ SPIKE
8.1,58.9,42.7,583,63,794.1,-163.5,▼ RELEASE
9.1,59.0,42.7,583,63,1.5,0.1,
10.1,59.0,42.7,583,63,9.3,0.0,
11.1,59.0,42.7,583,63,0.0,0.0,
12.1,59.3,42.7,583,63,0.0,0.2,
13.1,59.3,42.7,583,63,0.0,0.0,
14.1,59.3,42.7,583,63,0.0,0.0,
15.1,59.3,42.7,583,63,0.0,0.0,
16.2,59.3,42.7,583,63,0.0,0.0,
17.2,59.3,42.7,583,63,0.0,0.0,
18.2,59.3,42.7,583,63,0.0,0.0,
19.2,59.3,42.7,583,63,0.0,0.0,
20.2,59.3,42.7,583,63,0.0,0.0,
21.2,59.3,42.7,583,63,0.0,0.0,
22.2,59.3,42.7,583,63,0.0,0.0,
23.2,59.3,42.7,583,63,0.0,0.0,
24.2,59.3,42.7,583,63,0.0,0.0,
25.2,59.3,42.7,583,63,0.0,0.0,
26.2,59.3,42.7,583,63,0.0,0.0,
27.2,59.3,42.7,583,63,0.0,0.0,
28.3,59.3,42.7,583,63,0.0,0.0,
29.3,59.3,42.7,582,63,0.0,0.1,
30.3,59.3,42.7,582,63,0.0,0.0,
31.3,59.3,42.7,582,63,0.0,0.0,
32.3,59.3,42.7,582,63,0.0,0.0,
33.3,59.3,42.7,582,63,0.0,0.0,
34.3,59.3,42.7,582,63,0.0,0.0,
35.3,59.3,42.7,582,63,0.0,0.0,
36.3,59.3,42.7,582,63,0.0,0.0,
37.3,59.3,42.7,582,63,0.0,0.0,
38.3,59.3,42.7,582,63,0.0,0.0,
39.4,59.3,42.7,582,63,0.0,0.0,
40.4,59.3,42.7,582,63,0.0,0.0,
41.4,59.3,42.7,582,63,0.0,0.0,
42.4,59.4,42.8,558,55,0.0,0.1,
43.4,59.4,42.8,558,55,0.0,0.0,
